id,away_losses,away_wins,home_losses,home_wins
400578293,1,0,0,1
400578294,1,0,0,1
400578295,0,1,1,0
400578296,1,0,0,1
400578297,1,0,0,1
400578298,1,0,0,1
400578299,1,0,0,1
400578300,1,0,0,1
400578301,1,0,0,1
400578302,0,1,1,0
400578303,1,0,0,1
400578304,0,2,1,0
400578305,2,0,0,1
400578306,0,1,1,0
400578307,1,0,0,1
400578308,1,1,2,0
400578309,2,0,1,1
400578310,1,1,1,0
400578311,2,0,1,1
400578312,2,0,0,1
400578313,0,2,1,1
400578314,1,1,1,1
400578315,2,0,1,1
400578316,1,1,0,2
400578317,1,1,1,1
400578318,0,2,3,0
400578319,1,2,1,1
400578320,0,3,1,1
400578321,0,2,3,0
400578322,0,2,3,0
400578323,2,1,1,2
400578324,2,1,1,1
400578325,1,1,3,0
400578326,1,1,0,3
400578327,1,2,2,1
400578328,1,1,2,1
400578329,1,2,2,1
400578330,4,0,0,2
400578331,1,2,1,2
400578332,1,2,0,3
400578333,2,1,1,2
400578334,0,3,2,1
400578335,0,4,4,0
400578336,3,1,1,2
400578337,2,1,0,4
400578338,2,1,1,3
400578339,1,3,2,1
400578340,3,1,1,3
400578341,2,2,3,1
400578342,0,5,1,3
400578343,1,3,2,2
400578344,4,1,1,3
400578345,4,0,1,3
400578346,3,1,2,2
400578347,2,1,2,2
400578348,1,3,5,0
400578349,2,3,3,2
400578350,4,1,5,0
400578351,1,4,3,1
400578352,2,2,2,2
400578353,3,2,3,1
400578354,1,4,3,2
400578355,4,1,1,4
400578356,2,1,1,2
400578357,0,5,2,3
400578358,3,1,3,2
400578359,3,1,1,4
400578360,2,3,0,4
400578361,2,2,0,6
400578362,2,3,2,3
400578363,3,1,3,3
400578364,3,2,4,2
400578365,1,5,6,0
400578366,5,1,3,2
400578367,4,2,2,3
400578368,4,2,3,2
400578369,2,4,1,5
400578370,0,6,5,1
400578371,1,5,3,3
400578372,2,4,4,2
400578373,3,2,4,1
400578374,3,3,2,4
400578375,2,5,6,1
400578376,5,2,3,2
400578377,4,2,2,4
400578378,3,3,2,5
400578379,0,5,1,6
400578380,1,6,4,3
400578381,2,3,3,2
400578382,5,2,2,4
400578383,4,3,4,2
400578384,2,5,5,2
400578385,7,0,1,6
400578386,2,5,3,4
400578387,1,5,3,4
400578388,5,1,3,4
400578389,4,3,5,1
400578390,3,3,3,3
400578391,5,3,6,2
400578392,3,3,6,2
400578393,5,2,2,6
400578394,3,3,3,4
400578395,6,2,1,7
400578396,6,1,1,7
400578397,6,2,4,4
400578398,3,5,3,5
400578399,5,3,3,5
400578400,3,4,2,5
400578401,6,2,2,6
400578402,6,3,3,4
400578403,6,3,4,3
400578404,6,3,3,5
400578405,6,3,7,2
400578406,7,1,3,4
400578407,3,6,6,1
400578408,3,4,3,5
400578409,1,7,5,2
400578410,4,5,1,8
400578411,2,7,2,7
400578412,8,0,3,6
400578413,4,4,2,6
400578414,6,2,7,3
400578415,5,4,6,4
400578416,4,5,3,5
400578417,3,4,5,3
400578418,6,4,8,2
400578419,9,0,1,8
400578420,6,2,3,5
400578421,6,3,7,3
400578422,5,4,4,5
400578423,3,5,8,1
400578424,7,4,2,7
400578425,4,5,3,5
400578426,7,4,2,8
400578427,7,4,3,7
400578428,7,3,1,9
400578429,7,2,3,7
400578430,5,4,3,7
400578431,4,5,4,6
400578432,6,4,2,7
400578433,5,5,3,5
400578434,7,2,8,3
400578435,5,5,5,5
400578436,1,9,8,3
400578437,2,8,9,1
400578438,3,8,7,4
400578439,7,3,4,5
400578440,5,6,6,3
400578441,5,6,6,4
400578442,7,5,8,3
400578443,2,9,1,10
400578444,10,0,4,6
400578445,4,5,3,8
400578446,3,8,4,5
400578447,9,2,5,5
400578448,9,3,5,6
400578449,9,3,7,5
400578450,4,6,5,6
400578451,4,7,5,5
400578452,8,4,7,5
400578453,4,6,8,5
400578454,6,4,11,0
400578455,3,9,3,7
400578456,5,7,7,4
400578457,5,7,9,3
400578458,2,10,2,9
400578459,10,3,7,3
400578460,10,3,7,4
400578461,9,3,3,9
400578462,4,7,6,6
400578463,4,8,5,7
400578464,8,6,9,4
400578465,5,8,12,0
400578466,10,3,5,6
400578467,6,7,2,10
400578468,7,4,2,11
400578469,4,8,8,3
400578470,7,5,11,3
400578471,6,5,3,8
400578472,10,3,3,10
400578473,5,6,7,5
400578474,8,5,2,9
400578475,5,8,3,9
400578476,5,9,8,5
400578477,6,7,9,6
400578478,2,11,7,5
400578479,13,0,10,4
400578480,4,10,3,10
400578481,5,8,9,3
400578482,3,9,7,7
400578483,8,5,4,9
400578484,5,7,9,5
400578485,5,7,2,12
400578486,3,10,8,4
400578487,10,4,6,8
400578488,2,10,12,3
400578489,7,6,11,3
400578490,5,8,11,4
400578491,10,6,7,6
400578492,3,11,14,0
400578493,6,9,2,12
400578494,11,4,3,11
400578495,8,6,5,10
400578496,5,9,10,5
400578497,5,7,4,9
400578498,2,11,7,8
400578499,11,3,7,8
400578500,5,9,6,7
400578501,6,9,7,7
400578502,3,12,12,4
400578503,5,9,7,7
400578504,2,12,11,6
400578505,8,6,15,0
400578506,12,4,5,11
400578507,2,13,6,7
400578508,5,9,12,3
400578509,6,9,3,12
400578510,7,9,10,3
400578511,11,5,12,4
400578512,9,6,4,10
400578513,8,7,6,10
400578514,2,13,12,3
400578515,6,10,9,4
400578516,2,13,13,4
400578517,7,7,6,8
400578518,7,10,13,3
400578519,5,12,3,13
400578520,5,10,4,12
400578521,13,4,12,5
400578522,12,6,9,7
400578523,7,9,4,11
400578524,7,10,8,8
400578525,2,14,4,12
400578526,10,4,13,3
400578527,5,13,16,0
400578528,8,7,5,10
400578529,14,4,6,9
400578530,10,7,7,8
400578531,5,11,12,5
400578532,4,13,8,10
400578533,4,12,10,4
400578534,6,11,9,6
400578535,2,14,14,3
400578536,2,15,8,9
400578537,7,9,14,4
400578538,12,7,8,10
400578539,11,4,4,13
400578540,4,13,13,4
400578541,4,13,17,0
400578542,8,9,5,11
400578543,8,9,13,5
400578544,12,4,5,12
400578545,9,10,7,9
400578546,11,4,6,10
400578547,13,5,15,3
400578548,9,7,15,4
400578549,5,14,7,11
400578550,13,5,8,8
400578551,4,14,9,9
400578552,11,7,8,11
400578553,4,14,9,9
400578554,13,7,2,15
400578555,7,12,15,4
400578556,14,5,5,12
400578557,16,3,11,5
400578558,5,13,9,8
400578559,6,11,9,9
400578560,3,15,4,14
400578561,5,15,10,10
400578562,17,1,13,4
400578563,4,15,14,5
400578564,14,7,5,13
400578565,7,10,16,4
400578566,12,7,4,15
400578567,9,8,2,16
400578568,17,4,15,5
400578569,13,6,18,1
400578570,10,9,5,13
400578571,15,5,11,6
400578572,6,12,10,8
400578573,7,11,5,15
400578574,5,14,4,15
400578575,4,15,14,4
400578576,8,12,6,15
400578577,10,9,10,11
400578578,14,8,15,5
400578579,13,7,9,10
400578580,18,2,17,3
400578581,2,17,8,12
400578582,9,12,4,16
400578583,15,4,5,15
400578584,14,9,10,10
400578585,10,8,5,14
400578586,6,13,11,7
400578587,11,9,6,13
400578588,11,9,4,16
400578589,13,7,18,3
400578590,11,11,6,16
400578591,4,16,18,4
400578592,10,9,16,5
400578593,6,14,14,7
400578594,12,7,6,14
400578595,7,12,11,8
400578596,12,9,5,16
400578597,2,18,16,4
400578598,16,5,10,11
400578599,10,12,5,15
400578600,6,16,7,13
400578601,4,17,19,3
400578602,7,16,4,17
400578603,19,4,10,10
400578604,12,11,13,8
400578605,11,10,11,12
400578606,6,15,16,6
400578607,11,11,16,6
