id,away_losses,away_wins,home_losses,home_wins
400899364,36,25,39,22
400899365,15,3,8,11
400899366,22,26,32,19
400899367,8,9,13,5
400899368,55,21,31,47
400899369,30,19,15,33
400899374,7,27,16,18
400899375,1,0,0,1
400899376,1,0,0,1
400899377,0,1,1,0
400899378,0,1,1,0
400899379,1,0,0,1
400899380,1,0,0,1
400899381,20,16,25,10
400899382,1,0,0,1
400899383,20,15,18,17
400899384,0,1,1,0
400899385,21,15,23,11
400899386,1,0,0,1
400899387,10,23,25,12
400899388,0,1,1,0
400899389,0,1,1,0
400899390,37,39,39,37
400899391,20,30,18,31
400899392,12,7,8,12
400899393,23,36,25,36
400899394,29,22,40,9
400899395,5,15,4,13
400899396,50,27,59,17
400899397,21,28,30,20
400899398,36,24,26,34
400899399,47,30,45,30
400899400,31,19,27,22
400899401,55,22,38,38
400899402,30,18,30,19
400899403,38,22,33,28
400899404,21,30,27,21
400899405,33,28,33,26
400899406,41,36,33,43
400899407,27,21,19,31
400899408,35,42,55,22
400899409,32,29,37,24
400899410,14,21,16,17
400899411,22,14,7,26
400899412,0,1,1,0
400899413,13,22,25,8
400899414,20,16,18,16
400899415,1,0,0,1
400899416,16,19,18,17
400899417,17,16,9,27
400899418,25,10,14,23
400899419,20,14,5,30
400899420,1,0,0,1
400899421,24,11,24,9
400899422,1,1,0,1
400899423,14,22,14,21
400899424,0,2,1,1
400899425,18,18,21,16
400899426,0,1,1,1
400899427,18,16,24,11
400899428,11,23,7,28
400899429,0,2,1,1
400899430,18,31,34,15
400899431,44,32,37,40
400899432,18,41,22,39
400899433,25,25,22,28
400899434,12,7,9,11
400899435,27,23,7,42
400899436,7,12,3,16
400899437,30,31,13,46
400899438,27,50,48,29
400899439,39,38,44,33
400899440,49,28,30,47
400899441,38,39,59,18
400899442,36,25,24,37
400899443,12,8,15,4
400899444,40,36,40,37
400899445,19,43,24,36
400899446,35,17,20,29
400899447,12,7,8,11
400899448,49,10,36,25
400899449,21,29,17,36
400899450,19,15,21,14
400899451,26,10,25,11
400899452,1,1,1,1
400899453,15,22,25,13
400899454,2,0,1,1
400899455,2,0,0,2
400899456,0,2,1,1
400899457,1,1,2,0
400899458,1,1,1,1
400899459,1,1,2,0
400899470,31,18,11,38
400899471,40,37,27,49
400899472,7,43,19,31
400899473,30,47,17,59
400899474,31,46,14,63
400899475,25,52,56,22
400899476,0,2,2,0
400899477,1,2,1,2
400899478,1,1,1,1
400899479,3,0,0,3
400899480,2,1,0,2
400899481,2,1,1,1
400899482,3,0,0,3
400899483,1,2,1,1
400899484,2,0,1,2
400899485,2,1,0,2
400899486,1,2,3,0
400899487,0,4,2,1
400899488,2,1,1,2
400899489,2,0,1,2
400899490,2,1,0,3
400899491,3,0,1,2
400899492,2,1,1,2
400899493,0,3,3,1
400899494,2,2,0,3
400899495,4,0,0,3
400899496,3,1,3,0
400899497,2,2,0,4
400899498,3,1,2,2
400899499,3,2,2,2
400899500,2,1,1,3
400899501,2,2,4,0
400899502,2,2,2,1
400899503,2,2,1,4
400899504,1,3,2,2
400899505,1,3,3,0
400899506,4,0,1,3
400899507,2,3,3,2
400899508,2,3,3,1
400899509,3,2,1,3
400899510,5,0,2,3
400899511,1,3,1,3
400899512,4,0,2,3
400899513,3,2,4,1
400899514,0,4,1,3
400899515,4,2,3,2
400899516,3,2,2,3
400899517,2,2,3,1
400899518,2,3,0,5
400899519,1,4,1,4
400899520,2,3,3,1
400899521,3,2,1,4
400899522,1,4,4,2
400899523,3,2,2,3
400899524,1,4,3,3
400899525,4,2,6,0
400899526,3,3,5,0
400899527,1,5,3,3
400899528,2,4,3,3
400899529,4,1,1,5
400899530,0,6,5,0
400899531,4,1,3,3
400899532,3,2,2,4
400899533,3,3,3,3
400899534,3,3,2,4
400899535,5,2,2,4
400899536,1,5,2,5
400899537,3,4,4,2
400899538,3,4,4,3
400899539,5,3,2,4
400899540,3,4,5,1
400899541,3,3,3,3
400899542,5,2,3,4
400899543,3,5,6,0
400899544,3,4,5,1
400899545,4,3,1,5
400899546,4,3,3,4
400899547,4,2,1,6
400899548,3,4,1,6
400899549,7,0,2,5
400899550,2,5,1,6
400899551,5,1,4,3
400899552,4,3,4,4
400899553,6,2,3,5
400899554,5,2,4,4
400899555,8,0,5,4
400899556,5,3,4,3
400899557,4,3,5,2
400899558,4,5,1,6
400899559,5,2,5,3
400899560,7,0,4,4
400899561,4,4,2,6
400899562,2,5,2,6
400899563,4,4,6,3
400899564,3,5,3,5
400899565,4,5,1,7
400899566,6,2,2,6
400899567,8,1,4,4
400899568,4,5,5,2
400899569,2,7,5,3
400899570,4,5,6,4
400899571,5,4,7,1
400899572,1,7,6,2
400899573,2,6,2,6
400899574,4,6,6,3
400899575,5,3,4,4
400899576,1,8,3,6
400899577,5,4,3,6
400899578,7,4,4,6
400899579,4,6,9,1
400899580,4,5,6,4
400899581,6,3,2,7
400899582,8,1,2,7
400899583,7,2,4,6
400899584,3,7,4,5
400899585,1,9,6,2
400899586,4,7,6,2
400899587,5,4,4,5
400899588,5,5,6,3
400899589,5,4,7,3
400899590,3,6,1,8
400899591,6,4,4,6
400899592,5,6,6,3
400899593,8,3,2,8
