id,date,home_team,visit_team,home_team_score,visit_team_score,away_losses,away_wins,home_losses,home_wins
400899380,2016-10-26,BOS,BKN,122,117,1,0,0,1
400899667,2016-11-23,BKN,BOS,92,111,6,9,10,4
400900417,2017-03-17,BKN,BOS,95,98,25,44,55,13
400900582,2017-04-10,BOS,BKN,114,105,61,20,29,52
400899556,2016-11-09,NY,BKN,110,96,5,3,4,3
400899575,2016-11-11,BOS,NY,115,87,5,3,4,4
400899898,2016-12-25,NY,BOS,114,119,13,18,14,16
400900051,2017-01-18,BOS,NY,106,117,24,19,16,26
400899394,2017-02-01,BKN,NY,90,95,29,22,40,9
400900381,2017-03-12,BKN,NY,120,112,41,26,53,12
400900411,2017-03-16,NY,BKN,110,121,54,13,42,27
400899438,2017-04-02,NY,BOS,94,110,27,50,48,29
400899736,2016-12-03,PHI,BOS,106,107,8,12,16,4
400899850,2016-12-18,PHI,BKN,108,107,19,7,20,7
400899967,2017-01-06,BOS,PHI,110,106,25,9,14,22
400899981,2017-01-08,BKN,PHI,95,105,25,10,28,8
400900001,2017-01-11,PHI,NY,98,97,22,17,25,11
400900242,2017-02-15,BOS,PHI,116,108,35,21,19,37
400900274,2017-02-25,NY,PHI,110,109,36,22,35,24
400900304,2017-03-03,PHI,NY,105,102,37,25,38,23
400900432,2017-03-19,PHI,BOS,105,99,26,44,43,26
400900500,2017-03-28,BKN,PHI,101,106,46,28,58,16
400900532,2017-04-04,PHI,BKN,118,141,59,19,50,28
400900598,2017-04-12,NY,PHI,114,113,54,28,51,31
400899581,2016-11-12,TOR,NY,118,107,6,3,2,7
400899704,2016-11-28,TOR,PHI,122,95,14,4,6,11
400899781,2016-12-09,BOS,TOR,94,101,7,16,10,13
400899816,2016-12-14,PHI,TOR,114,123,7,18,19,6
400899862,2016-12-20,TOR,BKN,116,104,20,7,8,20
400899993,2017-01-10,TOR,BOS,114,106,15,23,13,25
400900013,2017-01-13,TOR,BKN,132,113,31,8,13,26
400900027,2017-01-15,TOR,NY,116,101,23,18,13,27
400900043,2017-01-17,BKN,TOR,109,119,13,28,33,8
400900048,2017-01-18,PHI,TOR,94,89,14,28,26,14
400899391,2017-02-01,BOS,TOR,109,104,20,30,18,31
400900170,2017-02-05,BKN,TOR,95,103,21,31,42,9
400900264,2017-02-24,TOR,BOS,107,97,21,37,24,34
400900288,2017-02-27,NY,TOR,91,92,24,36,36,24
400899440,2017-04-02,TOR,PHI,113,105,49,28,30,47
400900574,2017-04-09,NY,TOR,97,110,31,50,51,30
400899615,2016-11-16,TOR,GS,121,127,2,9,4,7
400899629,2016-11-18,BOS,GS,88,104,2,10,6,6
400899830,2016-12-15,GS,NY,103,90,12,14,4,23
400899879,2016-12-22,BKN,GS,101,117,4,26,21,7
400899927,2016-12-28,GS,TOR,121,111,9,22,5,28
400900279,2017-02-25,GS,BKN,112,95,49,9,9,49
400900289,2017-02-27,PHI,GS,108,119,9,50,37,22
400900323,2017-03-05,NY,GS,105,112,11,51,38,25
400900354,2017-03-08,GS,BOS,86,99,24,41,12,52
400900398,2017-03-14,GS,PHI,106,104,43,24,14,53
400899602,2016-11-14,LAC,BKN,127,95,6,4,1,10
400899657,2016-11-21,LAC,TOR,123,115,6,8,2,13
400899711,2016-11-29,BKN,LAC,127,122,5,14,12,5
400899772,2016-12-07,LAC,GS,98,115,3,19,7,16
400900096,2017-01-24,PHI,LAC,121,110,17,30,27,16
400900128,2017-01-28,GS,LAC,144,98,18,30,7,40
400899472,2017-02-02,LAC,GS,120,133,7,43,19,31
400900171,2017-02-05,BOS,LAC,107,102,20,31,18,33
