id,First_name,Last_name,Full_name,position,team,player,MIN,PTS,FG_made,FG_taken,FT_made,FT_taken,3PT_made,3PT_taken,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,fpoints
,Deron,Williams, Deron  Williams,PG,Brooklyn Nets,D. WilliamsD. WilliamsPG,39,19,6,16,7,7,0,3,0,3,3,8,2,1,4,1,-16,36.6
,Deron,Williams, Deron  Williams,PG,Brooklyn Nets,D. WilliamsD. WilliamsPG,21,8,2,6,4,6,0,2,1,3,4,4,0,0,1,1,6,17.8
,Deron,Williams, Deron  Williams,PG,Brooklyn Nets,D. WilliamsD. WilliamsPG,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,-4,0.2
,Deron,Williams, Deron  Williams,PG,Brooklyn Nets,D. WilliamsD. WilliamsPG,34,10,2,6,6,6,0,2,1,8,9,10,2,1,3,3,-8,38.8
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,29,10,15,7,10,2,3,0,1,1,6,1,0,3,2,19,38.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,35,19,6,12,2,3,5,8,0,5,5,5,0,0,0,1,9,32.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,26,5,2,9,1,4,0,2,1,3,4,6,0,1,2,2,-6,18.8
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,26,11,21,0,0,4,7,2,5,7,7,1,0,1,1,20,45.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,37,17,4,10,7,7,2,5,1,7,8,10,2,1,4,4,9,43.6
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,29,3,0,8,3,4,0,5,1,3,4,10,3,0,2,1,8,26.8
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,26,10,3,7,4,6,0,2,0,2,2,5,0,0,2,3,7,17.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,11,5,15,0,1,1,5,3,0,3,7,0,0,5,3,-10,20.1
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,11,4,12,3,4,0,2,0,3,3,6,0,0,0,1,5,23.6
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,38,31,11,18,4,4,5,7,0,1,1,11,0,0,3,3,16,45.7
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,18,7,14,2,2,2,3,0,4,4,5,2,0,3,3,-12,31.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,22,8,19,2,2,4,7,0,4,4,4,1,0,4,1,5,30.8
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,29,15,5,8,2,2,3,5,0,3,3,3,0,0,4,4,12,19.1
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,40,12,6,14,0,0,0,2,0,4,4,15,2,1,5,1,8,40.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,13,5,13,2,2,1,4,0,1,1,9,3,0,3,1,16,30.7
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,14,5,10,2,2,2,5,0,4,4,5,1,0,5,4,-7,23.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,44,9,2,16,4,6,1,5,0,3,3,9,1,0,4,5,-7,24.1
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,17,6,2,6,2,2,0,2,0,0,0,3,0,0,0,0,0,10.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,10,3,12,4,4,0,1,0,1,1,3,1,0,2,0,-20,15.7
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,32,17,5,15,6,7,1,1,0,2,2,5,2,0,2,3,-20,28.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,21,6,1,8,4,5,0,1,2,4,6,4,3,1,3,3,27,24.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,9,3,13,3,3,0,1,1,6,7,5,0,2,0,2,-17,28.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,35,13,3,14,6,6,1,4,0,2,2,11,0,0,3,1,-18,28.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,10,1,0,2,1,2,0,0,0,0,0,5,0,0,0,1,5,8.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,28,20,7,15,5,5,1,5,0,2,2,6,1,0,3,3,-15,30.4
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,22,5,2,6,0,0,1,2,1,4,5,5,1,0,5,1,-2,15.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,41,15,7,19,0,0,1,5,1,1,2,6,0,1,0,4,11,28.4
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,20,7,2,7,2,3,1,1,0,1,1,3,0,0,3,3,-20,9.7
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,24,17,7,15,1,2,2,4,0,1,1,6,1,0,0,2,-8,29.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,30,11,4,6,2,3,1,1,0,6,6,8,2,0,0,5,11,34.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,52,18,7,14,1,2,3,7,1,4,5,7,2,0,4,4,-1,34.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,23,0,0,5,0,0,0,3,0,2,2,4,0,1,4,1,-7,6.4
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,22,4,1,6,2,3,0,2,1,1,2,5,0,0,0,3,-20,13.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,4,1,11,2,2,0,4,2,5,7,7,1,0,3,4,-15,21.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,35,23,8,13,3,4,4,6,0,6,6,2,1,0,1,2,24,34.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,15,6,15,3,3,0,3,0,5,5,3,3,0,1,2,-10,30.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,29,10,4,9,1,2,1,3,0,1,1,4,1,0,2,5,-8,17.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,34,10,4,14,2,4,0,3,0,1,1,6,0,0,3,4,-6,17.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,26,10,3,10,4,4,0,2,0,1,1,4,2,1,0,1,-7,23.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,37,24,10,21,2,2,2,4,1,4,5,7,2,2,3,3,-5,45.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,39,17,6,15,3,4,2,5,0,3,3,9,0,0,2,2,5,32.1
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,23,8,3,8,0,0,2,3,0,1,1,2,0,1,1,4,-9,13.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,25,10,3,8,2,2,2,4,0,4,4,5,0,0,2,2,-14,20.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,36,10,4,10,1,2,1,5,0,4,4,13,0,0,5,1,0,29.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,26,18,4,11,7,7,3,4,0,2,2,10,0,0,2,2,24,33.4
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,27,12,3,9,5,6,1,4,0,1,1,6,0,0,2,4,-21,20.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,31,10,2,9,5,5,1,2,0,7,7,14,0,0,2,5,3,37.4
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,35,14,4,13,4,5,2,8,1,4,5,7,4,1,3,4,-9,37.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,39,15,4,12,6,7,1,5,0,1,1,11,2,0,2,1,3,34.7
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,26,13,5,10,2,2,1,2,0,6,6,8,1,0,0,2,1,34.2
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,32,18,6,10,3,3,3,4,0,4,4,4,2,0,6,5,-2,26.8
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,41,18,7,12,4,4,0,1,0,4,4,7,2,0,2,3,6,35.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,29,16,5,10,3,4,3,3,0,2,2,7,0,0,1,1,-2,27.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,36,10,4,12,2,2,0,5,0,5,5,7,0,1,3,2,6,25.5
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,29,3,0,8,3,6,0,2,0,4,4,7,3,0,0,1,-10,24.3
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,31,9,3,11,1,2,2,4,2,5,7,9,1,0,3,1,7,29.9
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,33,16,6,15,4,4,0,2,0,5,5,12,1,0,1,2,18,41.0
,Deron,Williams, Deron  Williams,PG,Brooklyn,D. WilliamsD. WilliamsPG,39,19,8,16,0,1,3,6,0,2,2,6,0,1,4,3,-18,28.4
