id,team,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,position
400828066,Brooklyn Nets,T. YoungT. YoungPF,29,7-17,0-0,0-2,2,8,10,1,2,0,0,1,-21,14,PF
400828066,Brooklyn Nets,J. JohnsonJ. JohnsonSF,18,1-5,1-2,0-0,0,2,2,1,0,0,0,0,-19,3,SF
400828066,Brooklyn Nets,R. Hollis-JeffersonR. Hollis-JeffersonSF,31,5-12,1-4,2-3,4,7,11,2,3,0,5,2,-15,13,SF
400828066,Brooklyn Nets,B. LopezB. LopezC,27,5-9,0-0,4-4,3,4,7,2,0,0,2,1,-15,14,C
400828066,Brooklyn Nets,J. JackJ. JackPG,24,3-8,1-3,4-4,0,2,2,5,0,0,7,1,-15,11,PG
400828066,Brooklyn Nets,T. RobinsonT. RobinsonPF,17,2-7,0-0,2-4,3,3,6,0,0,0,0,2,-13,6,PF
400828066,Brooklyn Nets,A. BargnaniA. BargnaniC,15,2-8,0-0,1-1,1,1,2,1,0,0,0,1,-1,5,C
400828066,Brooklyn Nets,S. LarkinS. LarkinPG,30,4-8,1-3,1-2,1,2,3,3,4,0,2,0,-6,10,PG
400828066,Brooklyn Nets,B. BogdanovicB. BogdanovicSG,17,3-7,2-3,1-2,0,1,1,0,0,0,2,1,-10,9,SG
400828066,Brooklyn Nets,W. EllingtonW. EllingtonSG,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,+0,3,SG
400828066,Brooklyn Nets,M. BrownM. BrownSG,6,0-3,0-0,2-2,0,0,0,1,0,0,0,1,+0,2,SG
400828066,Brooklyn Nets,S. KarasevS. KarasevSG,24,2-4,1-3,0-0,0,0,0,1,1,0,1,3,-10,5,SG
400828066,Brooklyn Nets,TEAM,,35-89,8-19,17-24,14,30,44,17,10,0,19,13,,95,AM
400828066,Brooklyn Nets, ,,39.3%,42.1%,70.8%,,,,,,,,,,, 
400828066,Boston,A. JohnsonA. JohnsonPF,20,4-6,0-0,0-0,0,2,2,4,0,2,1,1,+17,8,PF
